,Textures,Frictions,Error,Printer,Filament
0,z0,0.005114492753623186,0.007123246552329562,bambu,PLAminus
1,z0,-0.08379678362573098,0.008497881789627045,bambu,PLAplus
2,z0,-0.02487573099415204,0.005631162885397207,bambu,wood
3,z0,-0.023418128654970755,0.006275043094760385,creality,Plaminus
4,z0,-0.14896345029239763,0.0077542965234942505,creality,Plaplus
5,z0,-0.04759626436781608,0.009039171249925239,ender,PLAminus
6,z1,-0.028739130434782597,0.005941190459874182,bambu,PLAminus
7,z1,0.0200391304347826,0.004263373719306694,bambu,PLAplus
8,z1,0.04539766081871344,0.005038213700767365,bambu,wood
9,z1,0.023409356725146192,0.0069236904675613565,creality,Plaminus
10,z1,-0.17556140350877192,0.03076608933682342,creality,Plaplus
11,z1,-0.019653735632183904,0.006944470560472915,ender,PLAminus
12,z2,0.05679741379310344,0.006284498270767127,bambu,PLAminus
13,z2,0.01512173913043478,0.007299985527855516,bambu,PLAplus
14,z2,0.03588260869565217,0.004173210269118368,bambu,wood
15,z2,-0.1580782608695652,0.01021694270738071,creality,PLAminus
16,z2,0.0037999999999999987,0.010432734498543515,creality,Plaplus
17,z2,-0.05315507246376809,0.008033427541558773,ender,PLAminus
18,z3,0.0022672413793103446,0.007133922263180332,bambu,PLAminus
19,z3,-0.03563742690058478,0.006511978197782913,bambu,PLAplus
20,z3,-0.0650086956521739,0.007374626493484262,bambu,wood
21,z3,-0.034436781609195395,0.007406209998818559,bambu,wood
22,z3,0.013618840579710141,0.007611147328653874,creality,PLAminus
23,z3,-0.203991304347826,0.029000826222935438,creality,Plaplus
24,z3,0.21139855072463762,0.02163827436899429,ender,PLAminus
25,z4,-0.03763936781609195,0.007752695380348372,bambu,PLAminus
26,z4,0.0776783625730994,0.008649866403222652,bambu,wood
27,z4,0.009675438596491224,0.004015140576629914,creality,PLAminus
28,z4,0.05323976608187133,0.01019411997660416,creality,Plaplus
29,z4,-0.08155217391304347,0.016982286148610113,ender,PLAminus
30,z5,0.05200434782608695,0.009762504221739165,creality,PLAminus
31,z5,0.07075072463768114,0.005198774511180496,creality,Plaplus
32,z5,-0.06609913793103447,0.013205954310873371,ender,PLAminus
