Printer,Texture,Test_Type,Comparison,Raw_Avg_Distance,Std_Deviation
E,2,T,1 vs 2,0.00024327,0.00021365
E,2,T,1 vs 3,0.00027473,0.00022812
E,2,T,1 vs 4,0.00035298,0.00034710
E,2,T,1 vs 5,0.00033706,0.00027038
E,2,T,2 vs 1,0.00050341,0.00045576
E,2,T,2 vs 3,0.00046400,0.00036337
E,2,T,2 vs 4,0.00028292,0.00028540
E,2,T,2 vs 5,0.00064568,0.00057836
E,2,T,3 vs 1,0.00028462,0.00022709
E,2,T,3 vs 2,0.00057497,0.00038938
E,2,T,3 vs 4,0.00028985,0.00023241
E,2,T,3 vs 5,0.00036474,0.00025277
E,2,T,4 vs 1,0.00045542,0.00037445
E,2,T,4 vs 2,0.00029115,0.00020017
E,2,T,4 vs 3,0.00039144,0.00029330
E,2,T,4 vs 5,0.00054914,0.00042211
E,2,T,5 vs 1,0.00030300,0.00024494
E,2,T,5 vs 2,0.00031221,0.00025736
E,2,T,5 vs 3,0.00031710,0.00026012
E,2,T,5 vs 4,0.00031576,0.00026058
E,1,T,1 vs 2,0.00042790,0.00057416
E,1,T,1 vs 3,0.00058285,0.00086127
E,1,T,1 vs 4,0.00059287,0.00074842
E,1,T,1 vs 5,0.00059971,0.00067118
E,1,T,2 vs 1,0.00032136,0.00026107
E,1,T,2 vs 3,0.00044554,0.00060511
E,1,T,2 vs 4,0.00035309,0.00034648
E,1,T,2 vs 5,0.00056395,0.00050654
E,1,T,3 vs 1,0.00026684,0.00039754
E,1,T,3 vs 2,0.00028916,0.00027481
E,1,T,3 vs 4,0.00026637,0.00028774
E,1,T,3 vs 5,0.00035287,0.00037965
E,1,T,4 vs 1,0.00025721,0.00021361
E,1,T,4 vs 2,0.00028263,0.00021703
E,1,T,4 vs 3,0.00036572,0.00040875
E,1,T,4 vs 5,0.00032849,0.00030494
E,1,T,5 vs 1,0.00053054,0.00049641
E,1,T,5 vs 2,0.00040342,0.00050080
E,1,T,5 vs 3,0.00052974,0.00070549
E,1,T,5 vs 4,0.00044831,0.00056145
E,3,T,1 vs 2,0.00030024,0.00019880
E,3,T,1 vs 3,0.00026200,0.00020081
E,3,T,1 vs 4,0.00034297,0.00034327
E,3,T,1 vs 5,0.00039236,0.00037812
E,3,T,2 vs 1,0.00032181,0.00035769
E,3,T,2 vs 3,0.00029744,0.00073945
E,3,T,2 vs 4,0.00036073,0.00066393
E,3,T,2 vs 5,0.00029551,0.00019894
E,3,T,3 vs 1,0.00029620,0.00026098
E,3,T,3 vs 2,0.00026995,0.00020189
E,3,T,3 vs 4,0.00038273,0.00037121
E,3,T,3 vs 5,0.00033007,0.00025132
E,3,T,4 vs 1,0.00031116,0.00024374
E,3,T,4 vs 2,0.00030102,0.00021409
E,3,T,4 vs 3,0.00031573,0.00022972
E,3,T,4 vs 5,0.00039251,0.00028585
E,3,T,5 vs 1,0.00041027,0.00051250
E,3,T,5 vs 2,0.00034472,0.00026334
E,3,T,5 vs 3,0.00030541,0.00030455
E,3,T,5 vs 4,0.00048188,0.00054832
E,4,T,1 vs 2,0.00047652,0.00055291
E,4,T,1 vs 3,0.00042167,0.00039479
E,4,T,1 vs 4,0.00066486,0.00094639
E,4,T,1 vs 5,0.00050496,0.00058908
E,4,T,2 vs 1,0.00035957,0.00026970
E,4,T,2 vs 3,0.00043453,0.00031320
E,4,T,2 vs 4,0.00038868,0.00049572
E,4,T,2 vs 5,0.00027235,0.00021492
E,4,T,3 vs 1,0.00045943,0.00032049
E,4,T,3 vs 2,0.00042340,0.00036716
E,4,T,3 vs 4,0.00045628,0.00065701
E,4,T,3 vs 5,0.00047779,0.00040971
E,4,T,4 vs 1,0.00037151,0.00026791
E,4,T,4 vs 2,0.00031388,0.00021736
E,4,T,4 vs 3,0.00033072,0.00022841
E,4,T,4 vs 5,0.00033833,0.00022976
E,4,T,5 vs 1,0.00038768,0.00029750
E,4,T,5 vs 2,0.00028113,0.00023386
E,4,T,5 vs 3,0.00046456,0.00030577
E,4,T,5 vs 4,0.00039378,0.00044267
E,6,T,1 vs 2,0.00045531,0.00031849
E,6,T,1 vs 3,0.00055549,0.00053409
E,6,T,1 vs 4,0.00045548,0.00042379
E,6,T,1 vs 5,0.00042551,0.00033224
E,6,T,2 vs 1,0.00096423,0.00134272
E,6,T,2 vs 3,0.00057915,0.00072989
E,6,T,2 vs 4,0.00091179,0.00128765
E,6,T,2 vs 5,0.00079001,0.00122763
E,6,T,3 vs 1,0.00097530,0.00159853
E,6,T,3 vs 2,0.00061366,0.00108658
E,6,T,3 vs 4,0.00107457,0.00177414
E,6,T,3 vs 5,0.00077281,0.00132321
E,6,T,4 vs 1,0.00050363,0.00080929
E,6,T,4 vs 2,0.00045955,0.00034009
E,6,T,4 vs 3,0.00036449,0.00039699
E,6,T,4 vs 5,0.00030756,0.00031043
E,6,T,5 vs 1,0.00051568,0.00077112
E,6,T,5 vs 2,0.00084221,0.00087982
E,6,T,5 vs 3,0.00054081,0.00055812
E,6,T,5 vs 4,0.00042666,0.00076042
E,5,T,1 vs 2,0.00049813,0.00049964
E,5,T,1 vs 3,0.00052915,0.00035683
E,5,T,1 vs 4,0.00045671,0.00031747
E,5,T,1 vs 5,0.00047812,0.00032633
E,5,T,2 vs 1,0.00046199,0.00036268
E,5,T,2 vs 3,0.00034886,0.00024319
E,5,T,2 vs 4,0.00033685,0.00025902
E,5,T,2 vs 5,0.00029066,0.00023826
E,5,T,3 vs 1,0.00060822,0.00047430
E,5,T,3 vs 2,0.00048386,0.00055144
E,5,T,3 vs 4,0.00022627,0.00015282
E,5,T,3 vs 5,0.00052080,0.00056095
E,5,T,4 vs 1,0.00052494,0.00044189
E,5,T,4 vs 2,0.00043688,0.00052574
E,5,T,4 vs 3,0.00021536,0.00014670
E,5,T,4 vs 5,0.00063620,0.00060993
E,5,T,5 vs 1,0.00042637,0.00060780
E,5,T,5 vs 2,0.00051516,0.00059919
E,5,T,5 vs 3,0.00054584,0.00055144
E,5,T,5 vs 4,0.00062741,0.00058819
R,4,T,1 vs 2,0.00021368,0.00013230
R,4,T,1 vs 3,0.00023946,0.00014633
R,4,T,1 vs 4,0.00035530,0.00127511
R,4,T,1 vs 5,0.08336929,0.00466094
R,4,T,2 vs 1,0.00022365,0.00013879
R,4,T,2 vs 3,0.00029244,0.00017657
R,4,T,2 vs 4,0.00028360,0.00017639
R,4,T,2 vs 5,0.08359330,0.00456258
R,4,T,3 vs 1,0.00026586,0.00015976
R,4,T,3 vs 2,0.00023765,0.00013656
R,4,T,3 vs 4,0.00024676,0.00017003
R,4,T,3 vs 5,0.08350136,0.00453889
R,4,T,4 vs 1,0.00028244,0.00017582
R,4,T,4 vs 2,0.00034362,0.00149279
R,4,T,4 vs 3,0.00025885,0.00017000
R,4,T,4 vs 5,0.08390870,0.00457612
R,4,T,5 vs 1,0.17241759,0.56484510
R,4,T,5 vs 2,0.17275380,0.56412944
R,4,T,5 vs 3,0.17265568,0.56583614
R,4,T,5 vs 4,0.16790947,0.56424011
R,2,T,1 vs 2,0.00019384,0.00013858
R,2,T,1 vs 3,0.00049711,0.00031009
R,2,T,1 vs 4,0.00053790,0.00031537
R,2,T,1 vs 5,0.00049823,0.00031231
R,2,T,2 vs 1,0.00070762,0.00050866
R,2,T,2 vs 3,0.00047934,0.00031008
R,2,T,2 vs 4,0.00037373,0.00027441
R,2,T,2 vs 5,0.00044477,0.00030001
R,2,T,3 vs 1,0.00051103,0.00032356
R,2,T,3 vs 2,0.00051936,0.00034793
R,2,T,3 vs 4,0.00024825,0.00016044
R,2,T,3 vs 5,0.00019181,0.00012328
R,2,T,4 vs 1,0.00052267,0.00031983
R,2,T,4 vs 2,0.00036070,0.00024892
R,2,T,4 vs 3,0.00024578,0.00016992
R,2,T,4 vs 5,0.00027201,0.00017383
R,2,T,5 vs 1,0.00084489,0.00058537
R,2,T,5 vs 2,0.00053246,0.00033775
R,2,T,5 vs 3,0.00020362,0.00010908
R,2,T,5 vs 4,0.00021841,0.00016045
R,6,T,1 vs 2,0.00033342,0.00026860
R,6,T,1 vs 3,0.00031450,0.00023926
R,6,T,1 vs 4,0.00029278,0.00022034
R,6,T,1 vs 5,0.00037995,0.00027325
R,6,T,2 vs 1,0.00027440,0.00060695
R,6,T,2 vs 3,0.00024372,0.00014474
R,6,T,2 vs 4,0.00027098,0.00017234
R,6,T,2 vs 5,0.00030888,0.00020212
R,6,T,3 vs 1,0.00031985,0.00023815
R,6,T,3 vs 2,0.00026171,0.00021429
R,6,T,3 vs 4,0.00025646,0.00017885
R,6,T,3 vs 5,0.00024867,0.00017416
R,6,T,4 vs 1,0.00028667,0.00020776
R,6,T,4 vs 2,0.00027691,0.00021128
R,6,T,4 vs 3,0.00023880,0.00017081
R,6,T,4 vs 5,0.00022536,0.00013995
R,6,T,5 vs 1,0.00035119,0.00145386
R,6,T,5 vs 2,0.00027459,0.00021092
R,6,T,5 vs 3,0.00024937,0.00016485
R,6,T,5 vs 4,0.00025759,0.00015789
R,1,T,1 vs 2,0.00027269,0.00044207
R,1,T,1 vs 3,0.00086932,0.00116036
R,1,T,1 vs 4,0.00045684,0.00044379
R,1,T,1 vs 5,0.00040788,0.00045283
R,1,T,2 vs 1,0.00030571,0.00021018
R,1,T,2 vs 3,0.00027891,0.00018457
R,1,T,2 vs 4,0.00015970,0.00012653
R,1,T,2 vs 5,0.00015893,0.00014186
R,1,T,3 vs 1,0.00019181,0.00012592
R,1,T,3 vs 2,0.00028228,0.00019823
R,1,T,3 vs 4,0.00023631,0.00064919
R,1,T,3 vs 5,0.00025583,0.00018103
R,1,T,4 vs 1,0.00022142,0.00017121
R,1,T,4 vs 2,0.00017628,0.00012014
R,1,T,4 vs 3,0.00024996,0.00017007
R,1,T,4 vs 5,0.00018762,0.00014487
R,1,T,5 vs 1,0.00026259,0.00017774
R,1,T,5 vs 2,0.00017936,0.00012279
R,1,T,5 vs 3,0.00029998,0.00019048
R,1,T,5 vs 4,0.00020256,0.00012904
R,5,T,1 vs 2,0.00021799,0.00015674
R,5,T,1 vs 3,0.00024147,0.00016939
R,5,T,1 vs 4,0.00024917,0.00018883
R,5,T,1 vs 5,0.00026550,0.00017770
R,5,T,2 vs 1,0.00021904,0.00015602
R,5,T,2 vs 3,0.00025026,0.00018680
R,5,T,2 vs 4,0.00025841,0.00018773
R,5,T,2 vs 5,0.00024726,0.00018230
R,5,T,3 vs 1,0.00022371,0.00016436
R,5,T,3 vs 2,0.00024390,0.00017967
R,5,T,3 vs 4,0.00023288,0.00014212
R,5,T,3 vs 5,0.00023696,0.00014442
R,5,T,4 vs 1,0.00023686,0.00017025
R,5,T,4 vs 2,0.00024543,0.00018467
R,5,T,4 vs 3,0.00024139,0.00013690
R,5,T,4 vs 5,0.00021562,0.00016800
R,5,T,5 vs 1,0.00025478,0.00019786
R,5,T,5 vs 2,0.00024692,0.00019265
R,5,T,5 vs 3,0.00023254,0.00017728
R,5,T,5 vs 4,0.00022802,0.00019432
R,3,T,1 vs 2,0.00043896,0.00032344
R,3,T,1 vs 3,0.00028392,0.00021265
R,3,T,1 vs 4,0.00030937,0.00022156
R,3,T,1 vs 5,0.00024011,0.00015755
R,3,T,2 vs 1,0.00030461,0.00019448
R,3,T,2 vs 3,0.00018052,0.00012557
R,3,T,2 vs 4,0.00021151,0.00012172
R,3,T,2 vs 5,0.00024130,0.00014838
R,3,T,3 vs 1,0.00027312,0.00017601
R,3,T,3 vs 2,0.00019435,0.00011171
R,3,T,3 vs 4,0.00019872,0.00012252
R,3,T,3 vs 5,0.00028371,0.00017532
R,3,T,4 vs 1,0.00027698,0.00018463
R,3,T,4 vs 2,0.00023672,0.00015074
R,3,T,4 vs 3,0.00022274,0.00016034
R,3,T,4 vs 5,0.00032332,0.00019980
R,3,T,5 vs 1,0.00024342,0.00016688
R,3,T,5 vs 2,0.00024208,0.00018090
R,3,T,5 vs 3,0.00026501,0.00018682
R,3,T,5 vs 4,0.00032703,0.00020619
B,5,T,1 vs 2,0.00023221,0.00017001
B,5,T,1 vs 3,0.00020289,0.00014329
B,5,T,1 vs 4,0.00019086,0.00014232
B,5,T,1 vs 5,0.00026620,0.00020265
B,5,T,2 vs 1,0.00022402,0.00018134
B,5,T,2 vs 3,0.00026494,0.00017831
B,5,T,2 vs 4,0.00019803,0.00013679
B,5,T,2 vs 5,0.00030571,0.00024325
B,5,T,3 vs 1,0.00019275,0.00013615
B,5,T,3 vs 2,0.00026068,0.00017057
B,5,T,3 vs 4,0.00024928,0.00016883
B,5,T,3 vs 5,0.00025639,0.00022624
B,5,T,4 vs 1,0.00021265,0.00014932
B,5,T,4 vs 2,0.00019587,0.00015210
B,5,T,4 vs 3,0.00022465,0.00013815
B,5,T,4 vs 5,0.00028231,0.00024085
B,5,T,5 vs 1,0.00022964,0.00022689
B,5,T,5 vs 2,0.00028517,0.00025459
B,5,T,5 vs 3,0.00026926,0.00024319
B,5,T,5 vs 4,0.00026809,0.00027274
B,6,T,1 vs 2,0.00020768,0.00014935
B,6,T,1 vs 3,0.00019929,0.00011809
B,6,T,1 vs 4,0.00020171,0.00011096
B,6,T,1 vs 5,0.00018670,0.00011541
B,6,T,2 vs 1,0.00020099,0.00015495
B,6,T,2 vs 3,0.00012249,0.00007287
B,6,T,2 vs 4,0.00018126,0.00015510
B,6,T,2 vs 5,0.00023509,0.00018657
B,6,T,3 vs 1,0.00024925,0.00019391
B,6,T,3 vs 2,0.00016956,0.00014893
B,6,T,3 vs 4,0.00019520,0.00016743
B,6,T,3 vs 5,0.00024686,0.00018658
B,6,T,4 vs 1,0.00018257,0.00011942
B,6,T,4 vs 2,0.00018850,0.00011094
B,6,T,4 vs 3,0.00016556,0.00009654
B,6,T,4 vs 5,0.00022015,0.00013767
B,6,T,5 vs 1,0.00019401,0.00012648
B,6,T,5 vs 2,0.00021592,0.00017280
B,6,T,5 vs 3,0.00023230,0.00013247
B,6,T,5 vs 4,0.00020405,0.00014764
B,3,T,1 vs 2,0.00029348,0.00020930
B,3,T,1 vs 3,0.00024473,0.00017716
B,3,T,1 vs 4,0.00024243,0.00018579
B,3,T,1 vs 5,0.00025368,0.00017853
B,3,T,2 vs 1,0.00027651,0.00021877
B,3,T,2 vs 3,0.00028413,0.00022223
B,3,T,2 vs 4,0.00024586,0.00018777
B,3,T,2 vs 5,0.00029207,0.00021113
B,3,T,3 vs 1,0.00039012,0.00026010
B,3,T,3 vs 2,0.00028430,0.00019891
B,3,T,3 vs 4,0.00024415,0.00015511
B,3,T,3 vs 5,0.00024075,0.00016078
B,3,T,4 vs 1,0.00024283,0.00017668
B,3,T,4 vs 2,0.00023168,0.00016600
B,3,T,4 vs 3,0.00025012,0.00017684
B,3,T,4 vs 5,0.00033406,0.00023303
B,3,T,5 vs 1,0.00031971,0.00030920
B,3,T,5 vs 2,0.00031631,0.00022964
B,3,T,5 vs 3,0.00027190,0.00017156
B,3,T,5 vs 4,0.00029428,0.00020998
B,2,T,1 vs 2,0.00019397,0.00015658
B,2,T,1 vs 3,0.00022731,0.00015287
B,2,T,1 vs 4,0.00025159,0.00016479
B,2,T,1 vs 5,0.00032075,0.00023308
B,2,T,2 vs 1,0.00021021,0.00014209
B,2,T,2 vs 3,0.00024935,0.00016675
B,2,T,2 vs 4,0.00024597,0.00016770
B,2,T,2 vs 5,0.00039806,0.00079063
B,2,T,3 vs 1,0.00024686,0.00017492
B,2,T,3 vs 2,0.00023689,0.00016513
B,2,T,3 vs 4,0.00024372,0.00017168
B,2,T,3 vs 5,0.00023144,0.00019042
B,2,T,4 vs 1,0.00022271,0.00016309
B,2,T,4 vs 2,0.00023315,0.00016607
B,2,T,4 vs 3,0.00023207,0.00015456
B,2,T,4 vs 5,0.00025373,0.00019857
B,2,T,5 vs 1,0.00032003,0.00116012
B,2,T,5 vs 2,0.00023570,0.00015193
B,2,T,5 vs 3,0.00022602,0.00014925
B,2,T,5 vs 4,0.00024095,0.00015913
B,1,T,1 vs 2,0.00067409,0.00056269
B,1,T,1 vs 3,0.00025179,0.00022666
B,1,T,1 vs 4,0.00025796,0.00020237
B,1,T,1 vs 5,0.00031437,0.00021217
B,1,T,2 vs 1,0.00032630,0.00029467
B,1,T,2 vs 3,0.00019892,0.00014189
B,1,T,2 vs 4,0.00031110,0.00029931
B,1,T,2 vs 5,0.00021104,0.00016428
B,1,T,3 vs 1,0.00029766,0.00025885
B,1,T,3 vs 2,0.00020669,0.00013967
B,1,T,3 vs 4,0.00030965,0.00030530
B,1,T,3 vs 5,0.00018431,0.00011509
B,1,T,4 vs 1,0.00029232,0.00018623
B,1,T,4 vs 2,0.00025191,0.00017714
B,1,T,4 vs 3,0.00027007,0.00017242
B,1,T,4 vs 5,0.00024315,0.00016612
B,1,T,5 vs 1,0.00027972,0.00027141
B,1,T,5 vs 2,0.00020756,0.00014633
B,1,T,5 vs 3,0.00019639,0.00014588
B,1,T,5 vs 4,0.00029086,0.00030205
B,4,T,1 vs 2,0.00023602,0.00016338
B,4,T,1 vs 3,0.00021085,0.00015754
B,4,T,1 vs 4,0.00016670,0.00011410
B,4,T,1 vs 5,0.00026578,0.00018705
B,4,T,2 vs 1,0.00021975,0.00013704
B,4,T,2 vs 3,0.00028250,0.00019134
B,4,T,2 vs 4,0.00017203,0.00011324
B,4,T,2 vs 5,0.00022221,0.00015315
B,4,T,3 vs 1,0.00023398,0.00019355
B,4,T,3 vs 2,0.00024490,0.00022136
B,4,T,3 vs 4,0.00027900,0.00022335
B,4,T,3 vs 5,0.00025389,0.00022629
B,4,T,4 vs 1,0.00021799,0.00012031
B,4,T,4 vs 2,0.00017501,0.00011041
B,4,T,4 vs 3,0.00030286,0.00019861
B,4,T,4 vs 5,0.00018703,0.00010393
B,4,T,5 vs 1,0.00019403,0.00012249
B,4,T,5 vs 2,0.00025024,0.00016093
B,4,T,5 vs 3,0.00027250,0.00018956
B,4,T,5 vs 4,0.00021857,0.00012636
