Printer,Texture,Test_Type,Comparison,Raw_Avg_Distance,Std_Deviation
B,5,T,1 vs 2,0.00016863,0.00013254
B,5,T,1 vs 3,0.00019180,0.00010060
B,5,T,1 vs 4,0.00018324,0.00011197
B,5,T,1 vs 5,0.00017495,0.00012897
B,5,T,2 vs 1,0.00017230,0.00010710
B,5,T,2 vs 3,0.00016162,0.00009572
B,5,T,2 vs 4,0.00014611,0.00010248
B,5,T,2 vs 5,0.00022999,0.00015298
B,5,T,3 vs 1,0.00020024,0.00014064
B,5,T,3 vs 2,0.00021350,0.00014643
B,5,T,3 vs 4,0.00015879,0.00010724
B,5,T,3 vs 5,0.00017570,0.00013373
B,5,T,4 vs 1,0.00017746,0.00010258
B,5,T,4 vs 2,0.00016882,0.00010840
B,5,T,4 vs 3,0.00017179,0.00009800
B,5,T,4 vs 5,0.00019486,0.00010943
B,5,T,5 vs 1,0.00021440,0.00012841
B,5,T,5 vs 2,0.00019181,0.00013407
B,5,T,5 vs 3,0.00018263,0.00013160
B,5,T,5 vs 4,0.00018540,0.00012286
B,6,T,1 vs 2,0.00017170,0.00009350
B,6,T,1 vs 3,0.00022678,0.00013646
B,6,T,1 vs 4,0.00017235,0.00008444
B,6,T,1 vs 5,0.00014958,0.00008973
B,6,T,2 vs 1,0.00010293,0.00007718
B,6,T,2 vs 3,0.00020569,0.00008632
B,6,T,2 vs 4,0.00011500,0.00008160
B,6,T,2 vs 5,0.00019518,0.00010918
B,6,T,3 vs 1,0.00011622,0.00012680
B,6,T,3 vs 2,0.00020164,0.00013615
B,6,T,3 vs 4,0.00018670,0.00011792
B,6,T,3 vs 5,0.00015875,0.00010086
B,6,T,4 vs 1,0.00013658,0.00009560
B,6,T,4 vs 2,0.00011467,0.00008368
B,6,T,4 vs 3,0.00018137,0.00008790
B,6,T,4 vs 5,0.00016138,0.00009412
B,6,T,5 vs 1,0.00015683,0.00009467
B,6,T,5 vs 2,0.00018274,0.00009781
B,6,T,5 vs 3,0.00013395,0.00009010
B,6,T,5 vs 4,0.00014778,0.00009274
B,3,T,1 vs 2,0.00015907,0.00009398
B,3,T,1 vs 3,0.00017696,0.00009225
B,3,T,1 vs 4,0.00018617,0.00008715
B,3,T,1 vs 5,0.00016566,0.00008302
B,3,T,2 vs 1,0.00019270,0.00007541
B,3,T,2 vs 3,0.00012938,0.00009974
B,3,T,2 vs 4,0.00018426,0.00009924
B,3,T,2 vs 5,0.00015715,0.00008718
B,3,T,3 vs 1,0.00016910,0.00009663
B,3,T,3 vs 2,0.00014275,0.00009872
B,3,T,3 vs 4,0.00017108,0.00010602
B,3,T,3 vs 5,0.00016315,0.00009017
B,3,T,4 vs 1,0.00016804,0.00009731
B,3,T,4 vs 2,0.00015797,0.00010197
