Texture,Printer,Filament,N,method_n,MSR Mean,MSR Std,Method Error,Method STD,Corrected
0,resin,resin,300,200,18.273002997504342,3.0851594373063143,16.64565938313802,5.571635840926846,1.6273436143663211
1,resin,resin,500,250,14.969500569661458,2.059063876644475,15.97507861328125,5.948192753014815,-1.005578043619792
2,resin,resin,500,250,14.145953450520832,1.4446359562689146,16.60169612630208,5.7966213366713575,-2.4557426757812486
3,resin,resin,500,250,19.295358968098956,5.334323985212488,17.31872444661458,6.955155814808586,1.9766345214843746
4,resin,resin,500,250,20.31868701171875,5.1928738640173355,16.603853190104168,5.966961729466119,3.714833821614583
5,resin,resin,500,250,18.895592203776044,3.352073234576264,16.703849772135417,5.787056417048689,2.191742431640627
0,ender,PLAplus,750,300,25.790447835286457,7.057691772457145,18.85173190646702,8.801592190975345,6.9387159288194376
1,ender,PLAplus,750,300,27.05985538736979,6.3991913654124915,16.701367323133677,6.163376923689915,10.358488064236113
2,ender,PLAplus,750,300,28.653164903428824,7.553609060011926,18.776122368706595,8.153019537182912,9.877042534722229
3,ender,PLAplus,750,300,26.274612765842015,6.764400237906132,17.291508382161457,6.2909014557718335,8.983104383680558
4,ender,PLAplus,750,300,23.07455368381076,5.069262880818189,16.75820298936632,6.000923275439914,6.316350694444438
5,ender,PLAplus,500,250,20.823882486979166,5.555647311895695,16.000088053385415,5.358723087717031,4.823794433593751
0,bambu,PLAminus,750,300,18.44680295138889,4.279099143750129,16.905657823350698,5.627835466513132,1.5411451280381918
1,bambu,PLAminus,750,300,16.50807541232639,3.1828901152018862,15.620674099392364,5.147351706107313,0.8874013129340277
2,bambu,PLAminus,750,300,28.365664116753468,6.63512671363389,17.83762369791667,6.007517811856847,10.528040418836799
3,bambu,PLAminus,750,300,24.608770100911457,6.7292670564421115,17.865569797092014,5.848950451906506,6.743200303819442
4,bambu,PLAminus,750,300,16.939522433810765,2.4929962673117703,15.622384575737849,5.22013393158808,1.3171378580729165
5,bambu,PLAminus,750,300,17.793142062717013,3.186682287818049,16.469285888671877,5.482417397762866,1.3238561740451367
