PRINTER,TEXTURE,AVERAGE_RAW_DIST,STD_ERROR
B,1,0.00026833,0.00021593
B,2,0.00025484,0.00018519
B,3,0.00026430,0.00019211
B,4,0.00024879,0.00019858
B,5,0.00024551,0.00018717
B,6,0.00021445,0.00015402
E,1,0.00042484,0.00046519
E,2,0.00035202,0.00029439
E,3,0.00033081,0.00031882
E,4,0.00040151,0.00037980
E,5,0.00044619,0.00043387
E,6,0.00062454,0.00082549
R,1,0.00026993,0.00022705
R,2,0.00039828,0.00029067
R,3,0.00025255,0.00023306
R,4,0.00026346,0.00016446
R,5,0.00024123,0.00017401
R,6,0.00028104,0.00021587
